"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
Kirovohrad,,,25.8787,17.1874,0,18.5707,37.7336,15.75,38.5979,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,20.165,17.1874,0,17.2508,34.3806,0,37.8086,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,27.6569,0,0,19.1865,38.1305,15.75,40.8,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,29.1052,0,0,19.9006,38.3211,0,40.8,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,20.933,0,0,16.7401,36.8679,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,18.395,0,0,18.4,19.4008,15.75,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,26.034,17.1874,0,18.7179,37.7332,15.75,38.7133,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,20.1536,17.1874,0,17.2508,34.3652,0,37.9083,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,27.885,0,0,19.4174,38.1305,15.75,40.8,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,29.4015,0,0,20.2304,38.3211,0,40.8,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,20.933,0,0,16.7401,36.8679,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,18.395,0,0,18.4,19.4008,15.75,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,9.1785,0,0,8.7005,38.5676,0,36.5,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,38.5676,0,0,0,38.5676,0,36.5,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,8.7005,0,0,8.7005,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,8.7005,0,0,8.7005,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
Luhansk,,,31.5504,0,0,12.2834,37.4364,0,0,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,16.4418,0,0,12.2834,41.0083,0,0,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,37.2416,0,0,0,37.2416,0,0,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,37.6662,0,0,0,37.6662,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,33.0293,0,0,0,33.0293,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,11.2859,0,0,0,11.2859,0,0,,,,,,,,"11/03/2022, 23:07:51"
