"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
Zaporizhzhia,,,21.1419,60,22,14.6567,38.8549,0,37.4195,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,27.747,60,0,16.247,43.7785,0,43.4416,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,20.1205,0,22,14.4665,37.5514,0,36.0108,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,20.1535,0,0,14.3015,37.7532,0,36.0108,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,22.2177,0,22,18.2755,38.2313,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,7.1439,0,0,5.4,15.4468,0,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,24.8737,60,22,17.9388,38.9057,0,37.4652,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,27.7366,60,0,16.247,43.7697,0,45.7521,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,24.3051,0,22,18.2252,37.6165,0,36.0108,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,24.5383,0,0,18.2091,37.7532,0,36.0108,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,22.303,0,22,18.358,38.2313,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,17.4518,0,0,0,17.4518,0,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,5.4497,0,0,5.4297,12.8182,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,52.6247,0,0,0,52.6247,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,5.4361,0,0,5.4297,8.0666,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,5.4288,0,0,5.4288,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,6.7294,0,0,6.7294,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,5.5145,0,0,5.4,8.0666,0,0,,,,,,,,"01/05/2023, 16:39:11"
Ivano-Frankivsk,,,29.3972,18.5515,16.8,19.0896,36.9094,18.0255,36.0034,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,25.3329,74,16.8,18.1087,36.7073,18.0255,36.6868,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,30.0789,18.5515,0,19.3469,36.9309,0,36.0019,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,31.8655,18.5515,0,19.8716,37.675,0,36.0019,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,22.8532,0,0,18.2339,32.6472,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,15.8744,0,0,18.25,13.8179,0,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,29.5692,18.5515,16.8,19.3132,36.9091,18.0255,36.0026,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,25.3298,74,16.8,18.1087,36.7044,18.0255,37.1887,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,30.2866,18.5515,0,19.6366,36.931,0,36.0019,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,31.9469,18.5515,0,19.9968,37.675,0,36.0019,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,23.4507,0,0,18.8751,32.6472,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,15.8746,0,0,18.25,13.8181,0,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,7.1279,0,0,7.0134,42.5619,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,43.4955,0,0,0,43.4955,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,7.014,0,0,7.0134,12.58,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,8.0494,0,0,8.0494,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,6.5475,0,0,6.5475,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,12.58,0,0,0,12.58,0,0,,,,,,,,"01/05/2023, 16:39:11"
Kyiv region and the city of Kyiv,,,17.405162173413412,14.814358130326157,–,16.779909451088486,22.01045727340796,7.9986999999999995,0.9319831213255221,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,15.599532671515647,23.55016499382542,–,18.971546464547977,13.19709835322295,16.8347,37.53312627184166,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,17.619516887763904,12.993,–,16.66812657946757,31.203128648771727,7.9903,0.9245258684128242,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,17.73944201375514,12.6046,–,16.87517753373507,32.541160482372824,7.9903,0.9220258718914238,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,16.91633754384526,27.173300000000005,–,14.302419863546254,28.02369391464718,–,36.5411,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,10.372055396813389,–,–,6.8076,18.74869579884849,–,–,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,21.18670342312029,14.814358130326157,–,21.091441560151864,22.019633364812602,13.520400000000002,35.504093303714555,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,15.761706203813937,23.55016499382542,–,19.50299793458805,13.193111177120766,16.8347,37.50825447574335,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,22.050762137003627,12.993,–,21.201174953789646,31.23434292336641,13.5138,32.67551125469406,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,22.165344166695036,12.6046,–,21.37354815969433,32.559609831500474,13.5138,28.758610184567488,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,20.589170924599806,27.173300000000005,–,18.083926571264684,28.06630655562095,–,36.5411,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,18.327823773231124,–,–,15.9236,18.87863095885703,–,–,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,5.255485749735723,–,–,5.258499992064771,6.938542792669833,3,0.9201216569680506,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,2.9922771854712136,–,–,2.7245,36.07890385441678,–,39.59765779220779,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,5.268357884588511,–,–,5.272899991977907,2.0362007695987243,3,0.92,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,5.24443226919354,–,–,5.248599991378449,2.51,3,0.92,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
Kirovohrad,,,26.6888,0,0,19.3653,36.7421,74,38.5445,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,22.6004,0,0,18.5861,36.6518,74,37.8253,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,27.7481,0,0,19.6633,36.7531,0,40.8,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,30.4797,0,0,20.5921,37.0186,0,40.8,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,20.7363,0,0,18.5453,36.1692,0,0,,,,,,,,"01/05/2023, 16:39:11"
